search_term,Input
"((""Blincyto""or""Blinatumomab""or""blinatumomab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Blincyto""or""Blinatumomab""or""blinatumomab"""
"((""Zerbaxa""or""Ceftolozane and tazobactam""or""ceftolozane sulfate and tazobactam"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Zerbaxa""or""Ceftolozane and tazobactam""or""ceftolozane sulfate and tazobactam"""
"((""Defitelio""or""Defibrotide sodium""or""defibrotide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Defitelio""or""Defibrotide sodium""or""defibrotide"""
"((""Ocaliva""or""Obeticholic acid""or""obeticholic acid"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Ocaliva""or""Obeticholic acid""or""obeticholic acid"""
"((""Zykadia""or""Ceritinib""or""ceritinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Zykadia""or""Ceritinib""or""ceritinib"""
"((""Latuda""or""Lurasidone""or""lurasidone hydrochloride"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Latuda""or""Lurasidone""or""lurasidone hydrochloride"""
"((""Ocrevus""or""Ocrelizumab ""or""ocrelizumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Ocrevus""or""Ocrelizumab ""or""ocrelizumab"""
"((""Praxbind""or""Idarucizumab""or""idarucizumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Praxbind""or""Idarucizumab""or""idarucizumab"""
"((""Nulojix""or""Belatacept""or""belatacept"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Nulojix""or""Belatacept""or""belatacept"""
"((""Arcapta neohaler""or""Indacaterol""or""indacaterol maleate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Arcapta neohaler""or""Indacaterol""or""indacaterol maleate"""
"((""Tradjenta""or""Linagliptin""or""BI-1356 BS ""iv"""") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Tradjenta""or""Linagliptin""or""BI-1356 BS ""iv"""""
"((""Dalvance""or""Dalbavancin""or""dalbavancin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Dalvance""or""Dalbavancin""or""dalbavancin"""
"((""Brintellix/Trintellix""or""Vortioxetine""or""vortioxetine"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Brintellix/Trintellix""or""Vortioxetine""or""vortioxetine"""
"((""Trulicity""or""Dulaglutide""or""dulaglutide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Trulicity""or""Dulaglutide""or""dulaglutide"""
"((""Adlyxin""or""Lixisenatide""or""lixisenatide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Adlyxin""or""Lixisenatide""or""lixisenatide"""
"((""Xeomin""or""IncobotulinumtoxinA""or""incobotulinumtoxinA"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Xeomin""or""IncobotulinumtoxinA""or""incobotulinumtoxinA"""
"((""Rapivab""or""Peramivir""or""peramivir"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Rapivab""or""Peramivir""or""peramivir"""
"((""Kisqali""or""Ribociclib succinate""or""ribociclib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Kisqali""or""Ribociclib succinate""or""ribociclib"""
"((""Spinraza""or""Nusinersen""or""nusinersen"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Spinraza""or""Nusinersen""or""nusinersen"""
"((""Nerlynx""or""Neratinib maleate""or""neratinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Nerlynx""or""Neratinib maleate""or""neratinib"""
"((""Belviq""or""Lorcaserin""or""lorcaserin hydrochloride"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Belviq""or""Lorcaserin""or""lorcaserin hydrochloride"""
"((""Fasenra""or""Benralizumab ""or""benralizumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Fasenra""or""Benralizumab ""or""benralizumab"""
"((""Duavee""or""Bazedoxifene acetate and oestrogens""or""bazedoxifene acetateandPremarin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Duavee""or""Bazedoxifene acetate and oestrogens""or""bazedoxifene acetateandPremarin"""
"((""Ninlaro""or""Ixazomib""or""ixazomib citrate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Ninlaro""or""Ixazomib""or""ixazomib citrate"""
"((""Viekira Pak""or""Ombitasvir and  paritaprevir and  dasabuvir and  ritonavir""or""ombitasvir and paritaprevir and ritonavir and dasabuvir"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Viekira Pak""or""Ombitasvir and  paritaprevir and  dasabuvir and  ritonavir""or""ombitasvir and paritaprevir and ritonavir and dasabuvir"""
"((""Verzenio""or""Abemaciclib ""or""abemaciclib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Verzenio""or""Abemaciclib ""or""abemaciclib"""
"((""Orbactive""or""Oritavancin""or""oritavancin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Orbactive""or""Oritavancin""or""oritavancin"""
"((""Adempas""or""Riociguat""or""riociguat"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Adempas""or""Riociguat""or""riociguat"""
"((""Northera""or""Droxidopa""or""droxidopa"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Northera""or""Droxidopa""or""droxidopa"""
"((""Siliq""or""Brodalumab ""or""brodalumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Siliq""or""Brodalumab ""or""brodalumab"""
"((""Motegrity""or""Prucalopride ""or""prucalopride succinate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Motegrity""or""Prucalopride ""or""prucalopride succinate"""
"((""Potiga""or""Ezogabine""or""ezogabine"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Potiga""or""Ezogabine""or""ezogabine"""
"((""Firdapse""or""Amifampridine ""or""amifampridine phosphate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Firdapse""or""Amifampridine ""or""amifampridine phosphate"""
"((""Orkambi""or""Ivacaftor and lumacaftor""or""lumacaftor and ivacaftor"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Orkambi""or""Ivacaftor and lumacaftor""or""lumacaftor and ivacaftor"""
"((""Sivextro""or""Tedizolid""or""tedizolid"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Sivextro""or""Tedizolid""or""tedizolid"""
"((""Rubraca""or""Rucaparib""or""rucaparib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Rubraca""or""Rucaparib""or""rucaparib"""
"((""Picato""or""Ingenol mebutate""or""ingenol mebutate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Picato""or""Ingenol mebutate""or""ingenol mebutate"""
"((""Cotellic""or""Cobimetinib""or""cobimetinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Cotellic""or""Cobimetinib""or""cobimetinib"""
"((""Zontivity""or""Vorapaxar""or""vorapaxar"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Zontivity""or""Vorapaxar""or""vorapaxar"""
"((""Lonsurf""or""Tipiracil and trifluridine""or""trifluridine and tipiracil hydrochloride and  Servier"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Lonsurf""or""Tipiracil and trifluridine""or""trifluridine and tipiracil hydrochloride and  Servier"""
"((""Opsumit""or""Macitentan""or""macitentan"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Opsumit""or""Macitentan""or""macitentan"""
"((""Prepopik""or""Picosulfate""or""Picoprep"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Prepopik""or""Picosulfate""or""Picoprep"""
"((""Tremfya""or""Guselkumab ""or""guselkumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Tremfya""or""Guselkumab ""or""guselkumab"""
"((""Empliciti""or""Elotuzumab""or""elotuzumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Empliciti""or""Elotuzumab""or""elotuzumab"""
"((""Briviact""or""Brivaracetam""or""brivaracetam"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Briviact""or""Brivaracetam""or""brivaracetam"""
"((""Xiaflex""or""Collagenase clostridium histolyticum""or""collagenase Clostridium histolyticum"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Xiaflex""or""Collagenase clostridium histolyticum""or""collagenase Clostridium histolyticum"""
"((""Kymriah""or""Tisagenlecleucel""or""tisagenlecleucel-t"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Kymriah""or""Tisagenlecleucel""or""tisagenlecleucel-t"""
"((""Linzess""or""Linaclotide""or""linaclotide acetate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Linzess""or""Linaclotide""or""linaclotide acetate"""
"((""Hemlibra""or""Emicizumab ""or""emicizumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Hemlibra""or""Emicizumab ""or""emicizumab"""
"((""Diacomit""or""Stiripentol ""or""stiripentol"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Diacomit""or""Stiripentol ""or""stiripentol"""
"((""Zejula""or""Niraparib ""or""niraparib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Zejula""or""Niraparib ""or""niraparib"""
"((""Cinqair""or""Reslizumab""or""reslizumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Cinqair""or""Reslizumab""or""reslizumab"""
"((""Poteligeo""or""Mogamulizumab""or""mogamulizumab-kpkc"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Poteligeo""or""Mogamulizumab""or""mogamulizumab-kpkc"""
"((""Breo Ellipta""or""Fluticasone and  vilanterol""or""fluticasone furoate and vilanterol"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Breo Ellipta""or""Fluticasone and  vilanterol""or""fluticasone furoate and vilanterol"""
"((""Evenity""or""Romosozumab""or""romosozumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Evenity""or""Romosozumab""or""romosozumab"""
"((""Xofigo; formerly Alpharadin""or""Radium Ra 223 dichloride""or""radium-223 dichloride"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Xofigo; formerly Alpharadin""or""Radium Ra 223 dichloride""or""radium-223 dichloride"""
"((""Aptiom""or""Eslicarbazepine acetate""or""eslicarbazepine acetate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Aptiom""or""Eslicarbazepine acetate""or""eslicarbazepine acetate"""
"((""Belsomra""or""Suvorexant""or""suvorexant"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Belsomra""or""Suvorexant""or""suvorexant"""
"((""Beleodaq""or""Belinostat""or""belinostat"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Beleodaq""or""Belinostat""or""belinostat"""
"((""Vyndaqel""or""Tafamidis meglumine""or""tafamidis"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Vyndaqel""or""Tafamidis meglumine""or""tafamidis"""
"((""Erleada""or""Apalutamide ""or""apalutamide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Erleada""or""Apalutamide ""or""apalutamide"""
"((""Aimovig""or""Erenumab ""or""erenumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Aimovig""or""Erenumab ""or""erenumab"""
"((""Lorbrena""or""Lorlatinib ""or""lorlatinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Lorbrena""or""Lorlatinib ""or""lorlatinib"""
"((""Teflaro""or""Ceftaroline fosamil""or""ceftaroline acetate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Teflaro""or""Ceftaroline fosamil""or""ceftaroline acetate"""
"((""Besponsa""or""Inotuzumab ozogamicin
""or""inotuzumab ozogamicin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Besponsa""or""Inotuzumab ozogamicin
""or""inotuzumab ozogamicin"""
"((""Imlygic""or""Talimogene laherparepvec""or""talimogene laherparepvec"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Imlygic""or""Talimogene laherparepvec""or""talimogene laherparepvec"""
"((""Genvoya""or""Elvitegravir and  cobicistat and  emtricitabine and  tenofovir""or""cobicistatandelvitegravirandtenofovir alafenamideandemtricitabine"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Genvoya""or""Elvitegravir and  cobicistat and  emtricitabine and  tenofovir""or""cobicistatandelvitegravirandtenofovir alafenamideandemtricitabine"""
"((""Vraylar""or""Cariprazine""or""cariprazine"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Vraylar""or""Cariprazine""or""cariprazine"""
"((""Xpovio""or""Selinexor""or""selinexor"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Xpovio""or""Selinexor""or""selinexor"""
"((""Yescarta""or""Axicabtagene ciloleucel ""or""axicabtagene ciloleucel"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Yescarta""or""Axicabtagene ciloleucel ""or""axicabtagene ciloleucel"""
"((""Vizimpro""or""Dacomitinib ""or""dacomitinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Vizimpro""or""Dacomitinib ""or""dacomitinib"""
"((""Natazia""or""Oestradiol valerate and  dienogest ""or""dienogest and estradiol valerate and  sequential and  Bayer Schering"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Natazia""or""Oestradiol valerate and  dienogest ""or""dienogest and estradiol valerate and  sequential and  Bayer Schering"""
"((""Polivy""or""Polatuzumab vedotin-PIIQ""or""polatuzumab vedotin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Polivy""or""Polatuzumab vedotin-PIIQ""or""polatuzumab vedotin"""
"((""Talzenna""or""Talazoparib ""or""talazoparib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Talzenna""or""Talazoparib ""or""talazoparib"""
"((""Zioptan""or""Tafluprost""or""tafluprost"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Zioptan""or""Tafluprost""or""tafluprost"""
"((""Krintafel""or""Tafenoquine ""or""tafenoquine"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Krintafel""or""Tafenoquine ""or""tafenoquine"""
"((""Rexulti""or""Brexpiprazole""or""brexpiprazole"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Rexulti""or""Brexpiprazole""or""brexpiprazole"""
"((""Jetrea""or""Ocriplasmin""or""ocriplasmin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Jetrea""or""Ocriplasmin""or""ocriplasmin"""
"((""Edarbi""or""Azilsartan""or""azilsartan medoxomil"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Edarbi""or""Azilsartan""or""azilsartan medoxomil"""
"((""Piqray""or""Alpelisib""or""alpelisib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Piqray""or""Alpelisib""or""alpelisib"""
"((""Kynamro""or""Mipomersen""or""mipomersen sodium"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Kynamro""or""Mipomersen""or""mipomersen sodium"""
"((""Nourianz""or""Istradefylline""or""istradefylline"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Nourianz""or""Istradefylline""or""istradefylline"""
"((""Striverdi Respimat""or""Olodaterol""or""olodaterol"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Striverdi Respimat""or""Olodaterol""or""olodaterol"""
"((""Pretomanid""or""Pretomanid""or""pretomanid"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Pretomanid""or""Pretomanid""or""pretomanid"""
"((""Mektovi""or""Binimetinib ""or""binimetinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Mektovi""or""Binimetinib ""or""binimetinib"""
"((""Viibryd""or""Vilazodone""or""vilazodone"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Viibryd""or""Vilazodone""or""vilazodone"""
"((""Nuplazid""or""Pimavanserin""or""pimavanserin tartrate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Nuplazid""or""Pimavanserin""or""pimavanserin tartrate"""
"((""Kevzara""or""Sarilumab ""or""sarilumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Kevzara""or""Sarilumab ""or""sarilumab"""
"((""Andexxa""or""Coagulation Factor Xa ""recombinant"" and  inactivated""or""andexanet alfa"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Andexxa""or""Coagulation Factor Xa ""recombinant"" and  inactivated""or""andexanet alfa"""
"((""Calquence""or""Acalabrutinib ""or""acalabrutinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Calquence""or""Acalabrutinib ""or""acalabrutinib"""
"((""Prevymis""or""Letermovir ""or""letermovir"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Prevymis""or""Letermovir ""or""letermovir"""
"((""Anoro Ellipta""or""Umeclidinium and  vilanterol""or""umeclidinium bromide and vilanterol"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Anoro Ellipta""or""Umeclidinium and  vilanterol""or""umeclidinium bromide and vilanterol"""
"((""Lucemyra""or""Lofexidine ""or""lofexidine"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Lucemyra""or""Lofexidine ""or""lofexidine"""
"((""Tanzeum""or""Albiglutide""or""albiglutide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Tanzeum""or""Albiglutide""or""albiglutide"""
"((""Osphena""or""Ospemifene""or""ospemifene"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Osphena""or""Ospemifene""or""ospemifene"""
"((""Alunbrig""or""Brigatinib ""or""brigatinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Alunbrig""or""Brigatinib ""or""brigatinib"""
"((""Fetroja""or""Cefiderocol sulfate tosylate""or""cefiderocol"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Fetroja""or""Cefiderocol sulfate tosylate""or""cefiderocol"""
"((""Addyi""or""Flibanserin""or""flibanserin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Addyi""or""Flibanserin""or""flibanserin"""
"((""Gattex""or""Teduglutide""or""teduglutide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Gattex""or""Teduglutide""or""teduglutide"""
"((""Odomzo""or""Sonidegib""or""sonidegib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Odomzo""or""Sonidegib""or""sonidegib"""
"((""Bevyxxa""or""Betrixaban ""or""betrixaban"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Bevyxxa""or""Betrixaban ""or""betrixaban"""
"((""Tavalisse""or""Fostamatinib""or""fostamatinib disodium"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Tavalisse""or""Fostamatinib""or""fostamatinib disodium"""
"((""Xadago""or""Safinamide ""or""safinamide mesylate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Xadago""or""Safinamide ""or""safinamide mesylate"""
"((""Vitrakvi""or""Larotrectinib ""or""larotrectinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Vitrakvi""or""Larotrectinib ""or""larotrectinib"""
"((""Emgality""or""Galcanezumab""or""galcanezumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Emgality""or""Galcanezumab""or""galcanezumab"""
"((""Jublia""or""Efinaconazole""or""efinaconazole"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Jublia""or""Efinaconazole""or""efinaconazole"""
"((""Skyrizi""or""risankizumab-rzaa""or""risankizumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Skyrizi""or""risankizumab-rzaa""or""risankizumab"""
"((""Juxtapid""or""Lomitapide""or""lomitapide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Juxtapid""or""Lomitapide""or""lomitapide"""
"((""Rinvoq""or""Upadacitinib""or""upadacitinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Rinvoq""or""Upadacitinib""or""upadacitinib"""
"((""Sylvant""or""Siltuximab""or""siltuximab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Sylvant""or""Siltuximab""or""siltuximab"""
"((""Braftovi""or""Encorafenib ""or""encorafenib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Braftovi""or""Encorafenib ""or""encorafenib"""
"((""Tudorza Pressair""or""Aclidinium bromide""or""aclidinium bromide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Tudorza Pressair""or""Aclidinium bromide""or""aclidinium bromide"""
"((""Solosec""or""Secnidazole""or""secnidazole and  Symbiomix Therapeutics"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Solosec""or""Secnidazole""or""secnidazole and  Symbiomix Therapeutics"""
