search_term,Input
"(""Genvoya""or""Elvitegravir and  cobicistat and  emtricitabine and  tenofovir""or""cobicistatandelvitegravirandtenofovir alafenamideandemtricitabine"") AND (1980:2020 [pdat])","""Genvoya""or""Elvitegravir and  cobicistat and  emtricitabine and  tenofovir""or""cobicistatandelvitegravirandtenofovir alafenamideandemtricitabine"""
"(""Vraylar""or""Cariprazine""or""cariprazine"") AND (1980:2020 [pdat])","""Vraylar""or""Cariprazine""or""cariprazine"""
"(""Xpovio""or""Selinexor""or""selinexor"") AND (1980:2020 [pdat])","""Xpovio""or""Selinexor""or""selinexor"""
"(""Yescarta""or""Axicabtagene ciloleucel ""or""axicabtagene ciloleucel"") AND (1980:2020 [pdat])","""Yescarta""or""Axicabtagene ciloleucel ""or""axicabtagene ciloleucel"""
"(""Vizimpro""or""Dacomitinib ""or""dacomitinib"") AND (1980:2020 [pdat])","""Vizimpro""or""Dacomitinib ""or""dacomitinib"""
"(""Natazia""or""Oestradiol valerate and  dienogest ""or""dienogest and estradiol valerate and  sequential and  Bayer Schering"") AND (1980:2020 [pdat])","""Natazia""or""Oestradiol valerate and  dienogest ""or""dienogest and estradiol valerate and  sequential and  Bayer Schering"""
"(""Polivy""or""Polatuzumab vedotin-PIIQ""or""polatuzumab vedotin"") AND (1980:2020 [pdat])","""Polivy""or""Polatuzumab vedotin-PIIQ""or""polatuzumab vedotin"""
"(""Talzenna""or""Talazoparib ""or""talazoparib"") AND (1980:2020 [pdat])","""Talzenna""or""Talazoparib ""or""talazoparib"""
"(""Zioptan""or""Tafluprost""or""tafluprost"") AND (1980:2020 [pdat])","""Zioptan""or""Tafluprost""or""tafluprost"""
"(""Krintafel""or""Tafenoquine ""or""tafenoquine"") AND (1980:2020 [pdat])","""Krintafel""or""Tafenoquine ""or""tafenoquine"""
"(""Rexulti""or""Brexpiprazole""or""brexpiprazole"") AND (1980:2020 [pdat])","""Rexulti""or""Brexpiprazole""or""brexpiprazole"""
"(""Jetrea""or""Ocriplasmin""or""ocriplasmin"") AND (1980:2020 [pdat])","""Jetrea""or""Ocriplasmin""or""ocriplasmin"""
"(""Edarbi""or""Azilsartan""or""azilsartan medoxomil"") AND (1980:2020 [pdat])","""Edarbi""or""Azilsartan""or""azilsartan medoxomil"""
"(""Piqray""or""Alpelisib""or""alpelisib"") AND (1980:2020 [pdat])","""Piqray""or""Alpelisib""or""alpelisib"""
"(""Kynamro""or""Mipomersen""or""mipomersen sodium"") AND (1980:2020 [pdat])","""Kynamro""or""Mipomersen""or""mipomersen sodium"""
"(""Nourianz""or""Istradefylline""or""istradefylline"") AND (1980:2020 [pdat])","""Nourianz""or""Istradefylline""or""istradefylline"""
"(""Striverdi Respimat""or""Olodaterol""or""olodaterol"") AND (1980:2020 [pdat])","""Striverdi Respimat""or""Olodaterol""or""olodaterol"""
"(""Pretomanid""or""Pretomanid""or""pretomanid"") AND (1980:2020 [pdat])","""Pretomanid""or""Pretomanid""or""pretomanid"""
"(""Mektovi""or""Binimetinib ""or""binimetinib"") AND (1980:2020 [pdat])","""Mektovi""or""Binimetinib ""or""binimetinib"""
"(""Viibryd""or""Vilazodone""or""vilazodone"") AND (1980:2020 [pdat])","""Viibryd""or""Vilazodone""or""vilazodone"""
"(""Nuplazid""or""Pimavanserin""or""pimavanserin tartrate"") AND (1980:2020 [pdat])","""Nuplazid""or""Pimavanserin""or""pimavanserin tartrate"""
"(""Kevzara""or""Sarilumab ""or""sarilumab"") AND (1980:2020 [pdat])","""Kevzara""or""Sarilumab ""or""sarilumab"""
"(""Andexxa""or""Coagulation Factor Xa ""recombinant"" and  inactivated""or""andexanet alfa"") AND (1980:2020 [pdat])","""Andexxa""or""Coagulation Factor Xa ""recombinant"" and  inactivated""or""andexanet alfa"""
"(""Calquence""or""Acalabrutinib ""or""acalabrutinib"") AND (1980:2020 [pdat])","""Calquence""or""Acalabrutinib ""or""acalabrutinib"""
"(""Prevymis""or""Letermovir ""or""letermovir"") AND (1980:2020 [pdat])","""Prevymis""or""Letermovir ""or""letermovir"""
"(""Anoro Ellipta""or""Umeclidinium and  vilanterol""or""umeclidinium bromide and vilanterol"") AND (1980:2020 [pdat])","""Anoro Ellipta""or""Umeclidinium and  vilanterol""or""umeclidinium bromide and vilanterol"""
"(""Lucemyra""or""Lofexidine ""or""lofexidine"") AND (1980:2020 [pdat])","""Lucemyra""or""Lofexidine ""or""lofexidine"""
"(""Tanzeum""or""Albiglutide""or""albiglutide"") AND (1980:2020 [pdat])","""Tanzeum""or""Albiglutide""or""albiglutide"""
"(""Osphena""or""Ospemifene""or""ospemifene"") AND (1980:2020 [pdat])","""Osphena""or""Ospemifene""or""ospemifene"""
"(""Alunbrig""or""Brigatinib ""or""brigatinib"") AND (1980:2020 [pdat])","""Alunbrig""or""Brigatinib ""or""brigatinib"""
"(""Fetroja""or""Cefiderocol sulfate tosylate""or""cefiderocol"") AND (1980:2020 [pdat])","""Fetroja""or""Cefiderocol sulfate tosylate""or""cefiderocol"""
"(""Addyi""or""Flibanserin""or""flibanserin"") AND (1980:2020 [pdat])","""Addyi""or""Flibanserin""or""flibanserin"""
"(""Gattex""or""Teduglutide""or""teduglutide"") AND (1980:2020 [pdat])","""Gattex""or""Teduglutide""or""teduglutide"""
"(""Odomzo""or""Sonidegib""or""sonidegib"") AND (1980:2020 [pdat])","""Odomzo""or""Sonidegib""or""sonidegib"""
"(""Bevyxxa""or""Betrixaban ""or""betrixaban"") AND (1980:2020 [pdat])","""Bevyxxa""or""Betrixaban ""or""betrixaban"""
"(""Tavalisse""or""Fostamatinib""or""fostamatinib disodium"") AND (1980:2020 [pdat])","""Tavalisse""or""Fostamatinib""or""fostamatinib disodium"""
"(""Xadago""or""Safinamide ""or""safinamide mesylate"") AND (1980:2020 [pdat])","""Xadago""or""Safinamide ""or""safinamide mesylate"""
"(""Vitrakvi""or""Larotrectinib ""or""larotrectinib"") AND (1980:2020 [pdat])","""Vitrakvi""or""Larotrectinib ""or""larotrectinib"""
"(""Emgality""or""Galcanezumab""or""galcanezumab"") AND (1980:2020 [pdat])","""Emgality""or""Galcanezumab""or""galcanezumab"""
"(""Jublia""or""Efinaconazole""or""efinaconazole"") AND (1980:2020 [pdat])","""Jublia""or""Efinaconazole""or""efinaconazole"""
"(""Skyrizi""or""risankizumab-rzaa""or""risankizumab"") AND (1980:2020 [pdat])","""Skyrizi""or""risankizumab-rzaa""or""risankizumab"""
"(""Juxtapid""or""Lomitapide""or""lomitapide"") AND (1980:2020 [pdat])","""Juxtapid""or""Lomitapide""or""lomitapide"""
"(""Rinvoq""or""Upadacitinib""or""upadacitinib"") AND (1980:2020 [pdat])","""Rinvoq""or""Upadacitinib""or""upadacitinib"""
"(""Sylvant""or""Siltuximab""or""siltuximab"") AND (1980:2020 [pdat])","""Sylvant""or""Siltuximab""or""siltuximab"""
"(""Braftovi""or""Encorafenib ""or""encorafenib"") AND (1980:2020 [pdat])","""Braftovi""or""Encorafenib ""or""encorafenib"""
"(""Tudorza Pressair""or""Aclidinium bromide""or""aclidinium bromide"") AND (1980:2020 [pdat])","""Tudorza Pressair""or""Aclidinium bromide""or""aclidinium bromide"""
"(""Solosec""or""Secnidazole""or""secnidazole and  Symbiomix Therapeutics"") AND (1980:2020 [pdat])","""Solosec""or""Secnidazole""or""secnidazole and  Symbiomix Therapeutics"""
"(""Veltassa""or""Patiromer""or""patiromer"") AND (1980:2020 [pdat])","""Veltassa""or""Patiromer""or""patiromer"""
"(""Rozlytrek""or""Entrectinib""or""entrectinib"") AND (1980:2020 [pdat])","""Rozlytrek""or""Entrectinib""or""entrectinib"""
"(""Tymlos""or""Abaloparatide ""or""abaloparatide"") AND (1980:2020 [pdat])","""Tymlos""or""Abaloparatide ""or""abaloparatide"""
"(""Rixubis""or""Coagulation Factor IX ""Recombinant""""or""nonacog gamma"") AND (1980:2020 [pdat])","""Rixubis""or""Coagulation Factor IX ""Recombinant""""or""nonacog gamma"""
"(""Uptravi""or""Selexipag""or""selexipag"") AND (1980:2020 [pdat])","""Uptravi""or""Selexipag""or""selexipag"""
"(""Krystexxa""or""Pegloticase""or""pegloticase"") AND (1980:2020 [pdat])","""Krystexxa""or""Pegloticase""or""pegloticase"""
"(""Xerava""or""Eravacycline ""or""eravacycline"") AND (1980:2020 [pdat])","""Xerava""or""Eravacycline ""or""eravacycline"""
"(""Ilumya""or""Tildrakizumab""or""tildrakizumab"") AND (1980:2020 [pdat])","""Ilumya""or""Tildrakizumab""or""tildrakizumab"""
"(""Nuzyra""or""Omadacycline""or""omadacycline"") AND (1980:2020 [pdat])","""Nuzyra""or""Omadacycline""or""omadacycline"""
"(""Ajovy""or""Fremanezumab""or""fremanezumab"") AND (1980:2020 [pdat])","""Ajovy""or""Fremanezumab""or""fremanezumab"""
"(""Steglatro""or""Ertugliflozin""or""ertugliflozin"") AND (1980:2020 [pdat])","""Steglatro""or""Ertugliflozin""or""ertugliflozin"""
"(""Zemdri""or""Plazomicin ""or""plazomicin"") AND (1980:2020 [pdat])","""Zemdri""or""Plazomicin ""or""plazomicin"""
"(""Vabomere""or""Meropenem; vaborbactam""or""meropenem and vaborbactam and  Melinta Therapeutics"") AND (1980:2020 [pdat])","""Vabomere""or""Meropenem; vaborbactam""or""meropenem and vaborbactam and  Melinta Therapeutics"""
"(""Myalept""or""Metreleptin""or""metreleptin"") AND (1980:2020 [pdat])","""Myalept""or""Metreleptin""or""metreleptin"""
"(""Baxdela""or""Delafloxacin ""or""delafloxacin"") AND (1980:2020 [pdat])","""Baxdela""or""Delafloxacin ""or""delafloxacin"""
"(""Xospata""or""Gilteritinib""or""gilteritinib"") AND (1980:2020 [pdat])","""Xospata""or""Gilteritinib""or""gilteritinib"""
"(""Galafold""or""Migalastat ""or""migalastat hydrochloride"") AND (1980:2020 [pdat])","""Galafold""or""Migalastat ""or""migalastat hydrochloride"""
"(""Unituxin""or""Dinutuximab""or""dinutuximab"") AND (1980:2020 [pdat])","""Unituxin""or""Dinutuximab""or""dinutuximab"""
"(""Mayzent""or""Siponimod""or""siponimod"") AND (1980:2020 [pdat])","""Mayzent""or""Siponimod""or""siponimod"""
"(""Onpattro""or""Patisiran ""or""patisiran"") AND (1980:2020 [pdat])","""Onpattro""or""Patisiran ""or""patisiran"""
"(""Libtayo""or""Cemiplimab""or""cemiplimab"") AND (1980:2020 [pdat])","""Libtayo""or""Cemiplimab""or""cemiplimab"""
"(""Idhifa""or""Enasidenib mesylate
""or""enasidenib"") AND (1980:2020 [pdat])","""Idhifa""or""Enasidenib mesylate
""or""enasidenib"""
"(""Exondys 51""or""Eteplirsen""or""eteplirsen"") AND (1980:2020 [pdat])","""Exondys 51""or""Eteplirsen""or""eteplirsen"""
"(""Kanuma""or""Sebelipase alfa""or""sebelipase alfa"") AND (1980:2020 [pdat])","""Kanuma""or""Sebelipase alfa""or""sebelipase alfa"""
"(""Eucrisa""or""Crisaborole""or""crisaborole"") AND (1980:2020 [pdat])","""Eucrisa""or""Crisaborole""or""crisaborole"""
"(""Movantik""or""Naloxegol""or""naloxegol"") AND (1980:2020 [pdat])","""Movantik""or""Naloxegol""or""naloxegol"""
"(""Luzu""or""Luliconazole""or""luliconazole"") AND (1980:2020 [pdat])","""Luzu""or""Luliconazole""or""luliconazole"""
"(""Inrebic""or""Fedratinib hydrochloride""or""fedratinib"") AND (1980:2020 [pdat])","""Inrebic""or""Fedratinib hydrochloride""or""fedratinib"""
"(""Zurampic""or""Lesinurad""or""lesinurad"") AND (1980:2020 [pdat])","""Zurampic""or""Lesinurad""or""lesinurad"""
"(""Cablivi""or""caplacizumab-yhdp""or""caplacizumab"") AND (1980:2020 [pdat])","""Cablivi""or""caplacizumab-yhdp""or""caplacizumab"""
"(""Ampyra""or""Dalfampridine""or""dalfampridine"") AND (1980:2020 [pdat])","""Ampyra""or""Dalfampridine""or""dalfampridine"""
"(""Zinplava""or""Bezlotoxumab""or""bezlotoxumab"") AND (1980:2020 [pdat])","""Zinplava""or""Bezlotoxumab""or""bezlotoxumab"""
"(""Wakix""or""Pitolisant hydrochloride""or""pitolisant"") AND (1980:2020 [pdat])","""Wakix""or""Pitolisant hydrochloride""or""pitolisant"""
"(""Tibsovo""or""Ivosidenib ""or""ivosidenib"") AND (1980:2020 [pdat])","""Tibsovo""or""Ivosidenib ""or""ivosidenib"""
"(""Xofluza""or""Baloxavir marboxil ""or""baloxavir marboxil"") AND (1980:2020 [pdat])","""Xofluza""or""Baloxavir marboxil ""or""baloxavir marboxil"""
"(""Nubeqa""or""Darolutamide""or""darolutamide"") AND (1980:2020 [pdat])","""Nubeqa""or""Darolutamide""or""darolutamide"""
"(""Lumizyme""or""Alglucosidase alfa""or""alglucosidase alfa"") AND (1980:2020 [pdat])","""Lumizyme""or""Alglucosidase alfa""or""alglucosidase alfa"""
"(""Stendra""or""Avanafil""or""avanafil"") AND (1980:2020 [pdat])","""Stendra""or""Avanafil""or""avanafil"""
"(""Copiktra""or""Duvelisib ""or""duvelisib"") AND (1980:2020 [pdat])","""Copiktra""or""Duvelisib ""or""duvelisib"""
"(""Lokelma""or""Sodium zirconium cyclosilicate""or""sodium zirconium cyclosilicate"") AND (1980:2020 [pdat])","""Lokelma""or""Sodium zirconium cyclosilicate""or""sodium zirconium cyclosilicate"""
"(""Viberzi""or""Eluxadoline""or""eluxadoline"") AND (1980:2020 [pdat])","""Viberzi""or""Eluxadoline""or""eluxadoline"""
"(""Pifeltro""or""Doravirine ""or""doravirine"") AND (1980:2020 [pdat])","""Pifeltro""or""Doravirine ""or""doravirine"""
"(""Reyvow""or""Lasmiditan succinate""or""lasmiditan"") AND (1980:2020 [pdat])","""Reyvow""or""Lasmiditan succinate""or""lasmiditan"""
"(""Austedo""or""Deutetrabenazine""or""deuterated tetrabenazine and  Auspex Pharmaceuticals"") AND (1980:2020 [pdat])","""Austedo""or""Deutetrabenazine""or""deuterated tetrabenazine and  Auspex Pharmaceuticals"""
"(""Kerydin""or""Tavaborole""or""tavaborole"") AND (1980:2020 [pdat])","""Kerydin""or""Tavaborole""or""tavaborole"""
"(""Balversa""or""Erdafitinib""or""erdafitinib"") AND (1980:2020 [pdat])","""Balversa""or""Erdafitinib""or""erdafitinib"""
"(""Strensiq""or""Asfotase alfa""or""asfotase alfa"") AND (1980:2020 [pdat])","""Strensiq""or""Asfotase alfa""or""asfotase alfa"""
"(""Enhertu""or""Fam-Trastuzumab Deruxtecan-NXKI""or""trastuzumab deruxtecan"") AND (1980:2020 [pdat])","""Enhertu""or""Fam-Trastuzumab Deruxtecan-NXKI""or""trastuzumab deruxtecan"""
"(""Ingrezza""or""Valbenazine tosylate""or""valbenazine"") AND (1980:2020 [pdat])","""Ingrezza""or""Valbenazine tosylate""or""valbenazine"""
"(""Vosevi""or""Sofosbuvir and  velpatasvir and  voxilaprevir""or""sofosbuvir and velpatasvir and voxilaprevir"") AND (1980:2020 [pdat])","""Vosevi""or""Sofosbuvir and  velpatasvir and  voxilaprevir""or""sofosbuvir and velpatasvir and voxilaprevir"""
"(""Lartruvo""or""Olaratumab""or""olaratumab"") AND (1980:2020 [pdat])","""Lartruvo""or""Olaratumab""or""olaratumab"""
"(""Turalio""or""Pexidartinib hydrochloride""or""pexidartinib"") AND (1980:2020 [pdat])","""Turalio""or""Pexidartinib hydrochloride""or""pexidartinib"""
"(""Crysvita""or""Burosumab ""or""burosumab"") AND (1980:2020 [pdat])","""Crysvita""or""Burosumab ""or""burosumab"""
"(""Aliqopa""or""Copanlisib dihydrochloride""or""copanlisib"") AND (1980:2020 [pdat])","""Aliqopa""or""Copanlisib dihydrochloride""or""copanlisib"""
"(""Cerdelga""or""Eliglustat""or""eliglustat"") AND (1980:2020 [pdat])","""Cerdelga""or""Eliglustat""or""eliglustat"""
"(""Beovu""or""Brolucizumab-DBII""or""brolucizumab"") AND (1980:2020 [pdat])","""Beovu""or""Brolucizumab-DBII""or""brolucizumab"""
"(""Horizant""or""Gabapentin enacarbil""or""gabapentin enacarbil"") AND (1980:2020 [pdat])","""Horizant""or""Gabapentin enacarbil""or""gabapentin enacarbil"""
"(""Orilissa""or""Elagolix sodium""or""elagolix"") AND (1980:2020 [pdat])","""Orilissa""or""Elagolix sodium""or""elagolix"""
"(""Mavyret""or""Glecaprevir and  pibrentasvir""or""glecaprevir and pibrentasvir"") AND (1980:2020 [pdat])","""Mavyret""or""Glecaprevir and  pibrentasvir""or""glecaprevir and pibrentasvir"""
"(""Rhopressa""or""Netarsudil ""or""netarsudil"") AND (1980:2020 [pdat])","""Rhopressa""or""Netarsudil ""or""netarsudil"""
"(""Fetzima""or""levomilnacipran""or""levomilnacipran"") AND (1980:2020 [pdat])","""Fetzima""or""levomilnacipran""or""levomilnacipran"""
"(""Trikafta""or""Elexacaftor and  ivacaftor and  tezacaftor""or""ivacaftor and tezacaftorand elexacaftor and  Vertex"") AND (1980:2020 [pdat])","""Trikafta""or""Elexacaftor and  ivacaftor and  tezacaftor""or""ivacaftor and tezacaftorand elexacaftor and  Vertex"""
"(""Esperoct""or""Antihemophilic Factor ""recombinant"" and  GlycoPEGylated-exei""or""turoctocog alfa pegol"") AND (1980:2020 [pdat])","""Esperoct""or""Antihemophilic Factor ""recombinant"" and  GlycoPEGylated-exei""or""turoctocog alfa pegol"""
"(""Plegridy""or""Peginterferon beta-1A""or""PEG-interferon ÃƒÅ¸1a and  Biogen"") AND (1980:2020 [pdat])","""Plegridy""or""Peginterferon beta-1A""or""PEG-interferon ÃƒÅ¸1a and  Biogen"""
"(""Portrazza""or""Necitumumab""or""necitumumab"") AND (1980:2020 [pdat])","""Portrazza""or""Necitumumab""or""necitumumab"""
"(""Brukinsa""or""Zanubrutinib""or""zanubrutinib"") AND (1980:2020 [pdat])","""Brukinsa""or""Zanubrutinib""or""zanubrutinib"""
"(""Parsabiv""or""Etelcalcetide""or""velcalcetide"") AND (1980:2020 [pdat])","""Parsabiv""or""Etelcalcetide""or""velcalcetide"""
"(""Reblozyl""or""Luspatercept-AAMT""or""luspatercept"") AND (1980:2020 [pdat])","""Reblozyl""or""Luspatercept-AAMT""or""luspatercept"""
"(""Varubi""or""Rolapitant""or""rolapitant"") AND (1980:2020 [pdat])","""Varubi""or""Rolapitant""or""rolapitant"""
"(""Zolgensma""or""onasemnogene abeparvovec-xioi""or""onasemnogene abeparvovec"") AND (1980:2020 [pdat])","""Zolgensma""or""onasemnogene abeparvovec-xioi""or""onasemnogene abeparvovec"""
"(""Zulresso""or""Brexanolone""or""brexanolone"") AND (1980:2020 [pdat])","""Zulresso""or""Brexanolone""or""brexanolone"""
"(""Daurismo""or""Glasdegib ""or""glasdegib"") AND (1980:2020 [pdat])","""Daurismo""or""Glasdegib ""or""glasdegib"""
"(""Egrifta""or""Tesamorelin""or""tesamorelin acetate"") AND (1980:2020 [pdat])","""Egrifta""or""Tesamorelin""or""tesamorelin acetate"""
"(""Padcev""or""Enfortumab vedotin-EJFV""or""enfortumab vedotin"") AND (1980:2020 [pdat])","""Padcev""or""Enfortumab vedotin-EJFV""or""enfortumab vedotin"""
"(""Xermelo""or""Telotristat etiprate""or""telotristat"") AND (1980:2020 [pdat])","""Xermelo""or""Telotristat etiprate""or""telotristat"""
"(""Ubrelvy""or""Ubrogepant""or""ubrogepant"") AND (1980:2020 [pdat])","""Ubrelvy""or""Ubrogepant""or""ubrogepant"""
"(""Hetlioz""or""Tasimelteon""or""tasimelteon"") AND (1980:2020 [pdat])","""Hetlioz""or""Tasimelteon""or""tasimelteon"""
"(""TPOXX""or""Tecovirimat ""or""tecovirimat"") AND (1980:2020 [pdat])","""TPOXX""or""Tecovirimat ""or""tecovirimat"""
"(""Lumoxiti""or""Moxetumomab pasudotox""or""moxetumomab pasudotox"") AND (1980:2020 [pdat])","""Lumoxiti""or""Moxetumomab pasudotox""or""moxetumomab pasudotox"""
"(""Symproic""or""Naldemedine ""or""naldemedine"") AND (1980:2020 [pdat])","""Symproic""or""Naldemedine ""or""naldemedine"""
"(""Biktarvy""or""Bictegravir and  emtricitabine and  tenofovir alafenamide""or""bictegravir and emtricitibine and tenofovir alafenamide and  Gilead Sciences"") AND (1980:2020 [pdat])","""Biktarvy""or""Bictegravir and  emtricitabine and  tenofovir alafenamide""or""bictegravir and emtricitibine and tenofovir alafenamide and  Gilead Sciences"""
"(""Trulance""or""Plecanatide ""or""plecanatide"") AND (1980:2020 [pdat])","""Trulance""or""Plecanatide ""or""plecanatide"""
"(""Ultomiris""or""Ravulizumab ""or""ravulizumab"") AND (1980:2020 [pdat])","""Ultomiris""or""Ravulizumab ""or""ravulizumab"""
"(""Luxturna""or""Voretigene neparvovec
""or""voretigene neparvovec"") AND (1980:2020 [pdat])","""Luxturna""or""Voretigene neparvovec
""or""voretigene neparvovec"""
"(""Vpriv""or""Velaglucerase alfa""or""velaglucerase alfa"") AND (1980:2020 [pdat])","""Vpriv""or""Velaglucerase alfa""or""velaglucerase alfa"""
"(""Vascepa""or""Ethyl eicosapentaenoic acid""or""ethyl icosapentate and  Amarin"") AND (1980:2020 [pdat])","""Vascepa""or""Ethyl eicosapentaenoic acid""or""ethyl icosapentate and  Amarin"""
"(""Xiidra""or""Lifitegrast""or""lifitegrast"") AND (1980:2020 [pdat])","""Xiidra""or""Lifitegrast""or""lifitegrast"""
"(""Tegsedi""or""Inotersen""or""inotersen"") AND (1980:2020 [pdat])","""Tegsedi""or""Inotersen""or""inotersen"""
"(""Voraxaze""or""Glucarpidase""or""glucarpidase and  HPA"") AND (1980:2020 [pdat])","""Voraxaze""or""Glucarpidase""or""glucarpidase and  HPA"""
"(""Cresemba""or""Isavuconazonium""or""isavuconazonium chloride"") AND (1980:2020 [pdat])","""Cresemba""or""Isavuconazonium""or""isavuconazonium chloride"""
"(""Trogarzo""or""Ibalizumab""or""ibalizumab"") AND (1980:2020 [pdat])","""Trogarzo""or""Ibalizumab""or""ibalizumab"""
"(""Xenleta""or""Lefamulin""or""lefamulin"") AND (1980:2020 [pdat])","""Xenleta""or""Lefamulin""or""lefamulin"""
"(""Novoeight""or""Turoctocog alfa""or""turoctocog alfa"") AND (1980:2020 [pdat])","""Novoeight""or""Turoctocog alfa""or""turoctocog alfa"""
"(""Synribo""or""Omacetaxine mepesuccinate""or""omacetaxine mepesuccinate"") AND (1980:2020 [pdat])","""Synribo""or""Omacetaxine mepesuccinate""or""omacetaxine mepesuccinate"""
"(""Omontys""or""Peginesatide""or""peginesatide"") AND (1980:2020 [pdat])","""Omontys""or""Peginesatide""or""peginesatide"""
"(""Aristada""or""Aripiprazole lauroxil""or""aripiprazole lauroxil"") AND (1980:2020 [pdat])","""Aristada""or""Aripiprazole lauroxil""or""aripiprazole lauroxil"""
"(""Oxbryta""or""Voxelotor""or""voxelotor"") AND (1980:2020 [pdat])","""Oxbryta""or""Voxelotor""or""voxelotor"""
"(""Vyleesi""or""Bremelanotide""or""bremelanotide acetate"") AND (1980:2020 [pdat])","""Vyleesi""or""Bremelanotide""or""bremelanotide acetate"""
"(""Surfaxin""or""Lucinactant""or""sinapultide"") AND (1980:2020 [pdat])","""Surfaxin""or""Lucinactant""or""sinapultide"""
"(""Elzonris""or""Tagraxofusp""or""tagraxofusp"") AND (1980:2020 [pdat])","""Elzonris""or""Tagraxofusp""or""tagraxofusp"""
"(""Doptelet""or""Avatrombopag ""or""avatrombopag"") AND (1980:2020 [pdat])","""Doptelet""or""Avatrombopag ""or""avatrombopag"""
"(""Scenesse""or""Afamelanotide""or""afamelanotide"") AND (1980:2020 [pdat])","""Scenesse""or""Afamelanotide""or""afamelanotide"""
"(""Zepatier""or""Elbasvir and  grazoprevir""or""elbasvir and grazoprevir"") AND (1980:2020 [pdat])","""Zepatier""or""Elbasvir and  grazoprevir""or""elbasvir and grazoprevir"""
"(""Ibsrela""or""Tenapanor""or""tenapanor hydrochloride"") AND (1980:2020 [pdat])","""Ibsrela""or""Tenapanor""or""tenapanor hydrochloride"""
"(""Recarbrio""or""Cilastatin sodium and  imipenem and  relebactam""or""cilastatin and imipenem and relebactam and "") AND (1980:2020 [pdat])","""Recarbrio""or""Cilastatin sodium and  imipenem and  relebactam""or""cilastatin and imipenem and relebactam and """
"(""Sunosi""or""Solriamfetol""or""solriamfetol"") AND (1980:2020 [pdat])","""Sunosi""or""Solriamfetol""or""solriamfetol"""
"(""Mulpleta""or""Lusutrombopag ""or""lusutrombopag"") AND (1980:2020 [pdat])","""Mulpleta""or""Lusutrombopag ""or""lusutrombopag"""
"(""Takhzyro""or""Lanadelumab ""or""lanadelumab"") AND (1980:2020 [pdat])","""Takhzyro""or""Lanadelumab ""or""lanadelumab"""
"(""Xepi""or""Ozenoxacin ""or""ozenoxacin"") AND (1980:2020 [pdat])","""Xepi""or""Ozenoxacin ""or""ozenoxacin"""
"(""Carbaglu""or""Carglumic acid""or""carglumic acid and  Orphan Europe"") AND (1980:2020 [pdat])","""Carbaglu""or""Carglumic acid""or""carglumic acid and  Orphan Europe"""
"(""Xuriden""or""Uridine triacetate""or""uridine triacetate"") AND (1980:2020 [pdat])","""Xuriden""or""Uridine triacetate""or""uridine triacetate"""
"(""Vimizim""or""Elosulfase alfa""or""elosulfase alfa"") AND (1980:2020 [pdat])","""Vimizim""or""Elosulfase alfa""or""elosulfase alfa"""
"(""Vyzulta""or""Latanoprostene bunod""or""latanoprostene bunod"") AND (1980:2020 [pdat])","""Vyzulta""or""Latanoprostene bunod""or""latanoprostene bunod"""
"(""Elelyso""or""Taliglucerase alfa""or""taliglucerase alfa"") AND (1980:2020 [pdat])","""Elelyso""or""Taliglucerase alfa""or""taliglucerase alfa"""
"(""Akynzeo""or""Netupitant and  palonosetron""or""netupitant and palonosetron hydrochloride and  Helsinn"") AND (1980:2020 [pdat])","""Akynzeo""or""Netupitant and  palonosetron""or""netupitant and palonosetron hydrochloride and  Helsinn"""
"(""Dayvigo""or""Lemborexant""or""lemborexant"") AND (1980:2020 [pdat])","""Dayvigo""or""Lemborexant""or""lemborexant"""
"(""Symdeko""or""Tezacaftor and ivacaftor""or""ivacaftor and tezacaftor and  Vertex"") AND (1980:2020 [pdat])","""Symdeko""or""Tezacaftor and ivacaftor""or""ivacaftor and tezacaftor and  Vertex"""
"(""Ruconest""or""Conestat alfa""or""conestat alfa"") AND (1980:2020 [pdat])","""Ruconest""or""Conestat alfa""or""conestat alfa"""
"(""Hyqvia ""or""human immunoglobulin G ""IVIg""""or""immunoglobulin and  Baxter-2 and  Enhanze"") AND (1980:2020 [pdat])","""Hyqvia ""or""human immunoglobulin G ""IVIg""""or""immunoglobulin and  Baxter-2 and  Enhanze"""
"(""Neutroval""or""Tbo-Filgrastim ""or""filgrastim and  Teva"") AND (1980:2020 [pdat])","""Neutroval""or""Tbo-Filgrastim ""or""filgrastim and  Teva"""
"(""Xcopri""or""Cenobamate""or""cenobamate"") AND (1980:2020 [pdat])","""Xcopri""or""Cenobamate""or""cenobamate"""
"(""Adakveo""or""Crizanlizumab-TMCA""or""crizanlizumab"") AND (1980:2020 [pdat])","""Adakveo""or""Crizanlizumab-TMCA""or""crizanlizumab"""
"(""Givlaari""or""Givosiran sodium""or""givosiran"") AND (1980:2020 [pdat])","""Givlaari""or""Givosiran sodium""or""givosiran"""
"(""Fulyzaq""or""Crofelemer""or""crofelemer and  Napo"") AND (1980:2020 [pdat])","""Fulyzaq""or""Crofelemer""or""crofelemer and  Napo"""
"(""Seysara""or""Sarecycline""or""sarecycline"") AND (1980:2020 [pdat])","""Seysara""or""Sarecycline""or""sarecycline"""
"(""Yupelri""or""Revefenacin ""or""revefenacin"") AND (1980:2020 [pdat])","""Yupelri""or""Revefenacin ""or""revefenacin"""
